,,theta0,theta1,logL,logL_birth,nlive
labels,,$\theta_0$,$\theta_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,
246,4.316237479782952e-22,-0.9571975623281563,2.741687586492178,-54.10012092586502,-55.34947830495875,125
247,4.566763167794231e-22,-3.208476086042814,-1.8177675660892412,-54.03573214964086,-223.92891045819763,125
248,4.687530829520499e-22,2.369145277734763,-0.5574878078631738,-54.00166268732888,-inf,125
249,5.548619092703698e-22,2.3954646510062005,-2.067355181314573,-53.825051401244956,-334.4607406637172,125
250,5.806058380155269e-22,4.292671730322656,-0.5133185597537153,-53.77173039557575,-313.24896283982224,125
251,6.425841354024554e-22,-3.6799843107970323,-1.840706272689939,-53.66233657436982,-57.23571490310107,125
252,1.6043771286595131e-21,-4.146894904144796,-2.2477218781675785,-52.739375284550746,-54.10012092586502,125
253,2.0095992352536494e-21,-3.0701155939574476,-1.9308649382711636,-52.5062073975831,-55.86523267277744,125
254,2.083850812424301e-21,1.0911207064028297,2.6686982243788364,-52.461957010478855,-59.43087521389723,125
255,2.805298827197394e-21,3.8846120642780324,-3.206727933826655,-52.15669630796931,-87.23792310544358,125
256,3.996522039274463e-21,-3.8261884591571635,3.462546147678225,-51.79481371266803,-422.53772234707606,125
257,4.7412874148439036e-21,-4.650872193452265,-3.4507876644715076,-51.61596133039575,-113.38656104663168,125
258,2.520687068811584e-20,2.329048500995759,3.374314127548688,-49.93718526237242,-67.4882828924253,125
259,3.6412205238267485e-20,-3.7352134684873697,3.635704540366053,-49.56142966925026,-55.62388657831073,125
260,7.155462580168574e-20,-3.9040993752599307,-2.064143989103044,-48.87790437155497,-163.9544103987243,125
261,1.1280382388668407e-19,2.440884367937681,-1.763100473740697,-48.41474711894079,-54.112234076395396,125
262,1.4036520056041356e-19,-3.540915756483579,-1.8996226216232142,-48.18818158587241,-177.1366168423466,125
263,1.667164594124915e-19,2.459376743073115,-0.9763576371596816,-48.00816649622625,-85.72749110503464,125
264,1.8488866000855176e-19,2.324680064066735,3.3498470942989673,-47.89673904207763,-49.93718526237242,125
265,2.677032748971357e-19,4.405374499123955,-2.4688060304437323,-47.51864549462702,-70.03346512225139,125
266,2.7698106673416464e-19,-4.613264236796232,-3.392652331946024,-47.47660735617782,-54.4999702055509,125
267,4.073625977344252e-19,3.8628469008944286,2.4063434738143528,-47.08288464689176,-69.57993841572127,125
268,4.229197844774678e-19,-3.962165961939424,-4.219452747871492,-47.03743764333228,-77.90099904823893,125
269,6.321306640308387e-19,2.4788964752757465,-1.0217175679972321,-46.62755588027949,-225.58104675354195,125
